Author	AuthorGender	Concept	ConceptPair	Form	Gender	Manual	Register	Sentiment_Neutral	Sentiment_Positive	Source	Text	Year	confidence	gpt-3.5-turbo	gpt-4	sentiment
_	_	wife	Spouse	妻子	Female	Neutral	NEWS	No	No	XIN	妻子见他花150元钱买回一堆只能当柴烧的竹棒,埋怨了他好一阵子。	1998	0.973886787891388	Negative	Negative	Negative
_	_	son	Child	兒子	Male	Positive	NEWS	No	Yes	CNA	做為前總統的兒子又繼承了總統的同樣名字,小布希今年一踏上國際舞台支持度急遽升高,募款速度創紀錄,許多人認為他是爭取二千年白宮寶座的不二人選。	1999	0.933884918689728	Positive	Positive	Positive
_	_	mother-in-law	Parent_In_Law	婆婆	Female	Neutral	NEWS	No	Yes	CNA	連勝文除了學包尿布,現場也有不少婆婆媽媽紛紛探詢連勝文即將升格為新科爸爸的感想,他反而向在場的媽媽們請教育兒經驗,讓選舉氣氛格外溫馨。	2007	0.950308501720428	Neutral	Neutral	Positive
_	_	brother	Sibling	兄弟	Male	Neutral	NEWS	Yes	NA	CNA	陳水扁律師團更將以檢方在去年12月3日安排前中信金副董事長辜仲諒和扁家友人蔡銘哲、蔡銘杰兄弟3方對質的光碟內容,直接質疑檢方有「湮滅或變造證據」之嫌。	2009	0.817890822887421	Neutral	Negative	Neutral
谭浩	_	father	Parent	爸爸	Male	Positive	NEWS	No	Yes	XIN	另外一名来自四川灾区的残疾儿童、正在北京中国康复研究中心接受治疗的黄思雨在主办单位的帮助下与日夜思念的爸爸、妹妹相聚。	2008	0.996041059494019	Positive	Positive	Positive
_	_	girl	Not_Adult	女孩	Female	Neutral	NEWS	No	Yes	XIN	在这位快乐女孩的眼中,广州之旅更多的是收获的喜悦。	2010	0.99901008605957	Positive	Positive	Positive
_	_	wife	Spouse	妻子	Female	Positive	NEWS	No	Yes	XIN	妻子庐春莲先后带着丈夫到过近十家医院看病。	2006	0.918270945549011	Neutral	Positive	Positive
_	_	daughter	Child	女兒	Female	Neutral	NEWS	No	Yes	CNA	中視閩南語連續劇「女人當家」今天試片,劇中超齡演出「歐巴桑」的女主角蔡佳宏,一身火紅薄紗低胸禮服亮相,讓熱戀中的她,透露出待嫁女兒心。	2002	0.779988825321198	Neutral	Positive	Positive
_	_	girl	Not_Adult	女孩子	Female	Neutral	NEWS	No	Yes	CNA	女孩子也會得疝氣,高雄市阮綜合醫院最近發現三名女童罹患疝氣的病例,因延誤醫療時機,卵巢都已壞死,醫師不得不予以切除。	1993	0.512068688869476	Neutral	Neutral	Positive
_	_	wife	Spouse	妻子	Female	Negative	NEWS	No	No	XIN	”袁俊超和妻子原来都是纺织厂工人,连初中文凭都没有。	1999	0.568468809127808	Neutral	Neutral	Negative
_	_	husband	Spouse	丈夫	Male	Neutral	NEWS	Yes	NA	CNA	莊淑娟的丈夫賴俊彧原本是種植水稻的農民,由於多年來家庭經濟一直沒有起色,因此莊淑娟鼓勵丈夫改種芭樂,八年前在農業試驗所鳳山分所的輔導下,種植新品種「水晶芭樂」,由於甜度高,口感脆,因此頗獲消費者喜愛。	2005	0.530053853988647	Positive	Positive	Neutral
_	_	mother-in-law	Parent_In_Law	婆婆	Female	Neutral	NEWS	No	Yes	CNA	迎端午,南投縣肉品市場今天人潮滾滾,除了婆婆媽媽包粽子比賽,還有龍舟走秀、百發百粽等多項趣味競賽及香包DIY等;肉品市場六隻迷你麝香豬也慶祝滿月,並展開「六小福」彌月命名活動,現場有吃有玩,粽香四溢。	2008	0.961717426776886	Neutral	Neutral	Positive
_	_	husband	Spouse	丈夫	Male	Neutral	NEWS	Yes	NA	CNA	王慶生是國語日報同事們公認的孝子,三十多年前,他的母親于培英女士,為了貼補家用,撫育多名子女和協助丈夫,經常挑著扁擔,憑著雙腿四處奔波叫賣,由於日夜操勞,不幸在五十五年積勞成疾,引起腦血管的病變和突發休克,而殘疾癱瘓在床。	1999	0.734329760074615	Positive	Negative	Neutral
_	_	mother	Parent	母亲	Female	Neutral	NEWS	No	Yes	XIN	“由于地中海贫血病等遗传病目前尚无十分有效的治疗方法,所以成立优生遗传疾病产前诊断中心十分必要,母亲怀的宝宝是否健康,到这儿一查便知!”记者在遗传疾病产前诊断中心看到,工作人员微笑地向每对夫妇耐心解释。	2000	0.541181564331055	Neutral	Neutral	Positive
_	_	daughter	Child	女兒	Female	Neutral	NEWS	Yes	NA	CNA	女學生母親說,在女兒返台後,將購買足夠的糧食,在家自主管理1周,確定沒事後,再恢復正常生活。	2009	0.80191957950592	Neutral	Neutral	Neutral
_	_	sister	Sibling	妹妹	Female	Neutral	NEWS	No	Yes	CNA	未來治療期間,李明鍾希望可以控制感染情形,如果情況未發生,以小妹妹目前的生理情況,應是樂觀狀態,但感染一旦產生,整個情況可能會有忽然的變化出現,情況可能會惡化,醫療團隊仍會繼續努力為邱小妹妹診治。	2005	0.649137198925018	Neutral	Neutral	Positive
_	_	boy	Not_Adult	男孩	Male	Neutral	NEWS	No	Yes	XIN	头戴橄榄枝,不时吐吐舌头的刘翔像个邻家大男孩。	2004	0.972625732421875	Positive	Neutral	Positive
_	_	father-in-law	Parent_In_Law	公公	Male	Other	NEWS	No	Yes	CNA	耶誕節是個充滿溫馨歡樂的節日,但是對因病住院的病患而言,卻往往成為一項心理上的折磨,嘉義基督教醫院小兒科醫師、護士、院牧部人員,今天特別攜帶五彩汽球、小禮物,並由志工裝扮成聖誕老公公,前往小兒科病房與門診探訪,希望能撫慰他們思念親人的情緒。	2002	0.811221182346344	Neutral	Positive	Positive
麦棠源	_	husband	Spouse	丈夫	Male	Neutral	NEWS	Yes	NA	XIN	巴苏姬现任教练苏哈里亚迪就是她的丈夫。	1998	0.51983517408371	Neutral	Neutral	Neutral
_	_	boy	Not_Adult	男孩	Male	Neutral	NEWS	Yes	NA	CNA	談到新專輯與其他男孩團體的比較,如今已十九歲的Isaac說:「從基本的音越層面來看,我們是非常非常不一樣的。	2000	0.620855093002319	Neutral	Neutral	Neutral
_	_	wife	Spouse	妻子	Female	Neutral	NEWS	No	No	CNA	馬祖教育界人士指出,馬祖目前有大陸籍國中小學生約一百五十人、高中生約二十來人,主要是大陸的馬祖人於民國八十七年以後逐漸返回故鄉定居,他們娶了大陸妹,生了子女,妻子一時不便回馬祖,孩子可能先在大陸唸小學,到小三才回馬祖;也有一種情形是大陸台商子弟就近送回馬祖就讀。	2002	0.89129763841629	Neutral	Neutral	Negative
尹建华	_	daughter	Child	女儿	Female	Neutral	NEWS	No	No	XIN	济南汽运公司下岗职工马玉凤的女儿因病不能正常上学,耽误许多功课,请个家教给孩子补课一直是她的梦想。	1998	0.816736221313477	Positive	Neutral	Negative
_	_	brother	Sibling	弟弟	Male	Neutral	NEWS	No	No	CNA	陳俊銘從弟弟手上取走錢後交給這名「老猴」,隨即兩人就失去蹤影。	2008	0.701868414878845	Neutral	Negative	Negative
_	_	husband	Spouse	丈夫	Male	Positive	NEWS	No	Yes	XIN	每天早上,她和丈夫跑4英里,白天她常在健身房中练腿部力量,晚上,她一气做1000个仰卧起坐。	1998	0.534920752048492	Neutral	Positive	Positive
_	_	man	Adult	男人	Male	Negative	NEWS	Yes	NA	CNA	也就是說,男人患病,還有配偶照顧;女性患病,被送進療養院的機率更大。	2000	0.740788459777832	Neutral	Neutral	Neutral
_	_	mother-in-law	Parent_In_Law	婆婆	Female	Positive	NEWS	No	Yes	CNA	永康社區公園今天提前飄起端午粽香,大永康商圈文化協進會與勵馨基金會合作在永康公園舉辦包肉粽大賽與義賣會,一串由社區婆婆媽媽包的「冠軍粽」成功募得新台幣十二萬元,幫助受暴婦女。	2005	0.981932938098908	Positive	Positive	Positive
_	_	mother-in-law	Parent_In_Law	婆婆	Female	Neutral	NEWS	No	Yes	CNA	學界統計,台灣大約百分之三到百分之五的更年期婦女會有熱潮紅、夜間盜汗等不適症狀,今天瑞士籍內分泌科醫師丹尼爾.第博(Daniel Thiebaud)在一場記者會中指出,現在只有荷爾蒙替代療法能讓婆婆媽媽緩解更年期不適,但許多研究指出,補充荷爾蒙可能會增加乳癌、子宮內膜癌的風險,且不能減少心臟病及中風所以在渡過年期不適症狀之後,可以考慮改用非荷爾蒙的藥品。	2002	0.979564249515533	Neutral	Neutral	Positive
赵晓钟	_	daughter	Child	女儿	Female	Negative	NEWS	No	No	XIN	据传,前外长马丁斯・达克鲁斯的女儿考试分数不够却被医学院破例录取,他在此事上有违规行为。	2003	0.846542239189148	Negative	Negative	Negative
_	_	mother	Parent	母亲	Female	Neutral	NEWS	No	No	XIN	由中国人口福利基金会等单位开展的这项行动,目的是帮助贫困家庭的贫困母亲治穷、治愚、治病。	1995	0.793013215065002	Positive	Positive	Negative
_	_	sister	Sibling	姐姐	Female	Neutral	NEWS	No	No	XIN	刘金国知道后,当着姐夫的面给区政府打电话:“我姐夫找你们收白菜的事绝对不能办,谁办我找谁是问!”结果,姐姐家的白菜没卖出去,全烂在了地里。	2000	0.979383051395416	Neutral	Negative	Negative
_	_	girl	Not_Adult	女孩子	Female	Neutral	NEWS	Yes	NA	XIN	当日下午5时许,被跟踪抓捕的刑警队员发现后,案犯又持菜刀、匕首将两个女孩子劫持到屋内作为人质拒捕。	1998	0.558713912963867	Negative	Neutral	Neutral
_	_	girl	Not_Adult	女孩	Female	Neutral	NEWS	Yes	NA	CNA	當局已經確認其中五十三名女孩的身份,他們相信這些女孩的年紀介於十四至十七歲。	2008	0.526705324649811	Neutral	Neutral	Neutral
_	_	son	Child	儿子	Male	Positive	NEWS	No	Yes	XIN	他想如果儿子还在,肯定会在这抗洪大军中。	1998	0.934016406536102	Positive	Positive	Positive
_	_	sister	Sibling	妹妹	Female	Neutral	NEWS	No	No	CNA	不過,麥可傑克森的妹妹珍娜傑克森由於正值個人新專輯「珍愛」巡迴演唱會行程而將缺席。	2001	0.948313236236572	Neutral	Neutral	Negative
_	_	mother	Parent	母親	Female	Neutral	NEWS	No	Yes	CNA	監察院說,黃國章案引爆前後時期軍中不當管教、軍中人權不彰的一連串案件,而「南陽艦魅影」新書以黃國章的母親黃媽媽出發,透過文字重現監察院調查過程,彙整十年來軍中人權保障進程,是台灣第一本類似的真實記錄書籍。	2004	0.940396010875702	Neutral	Positive	Positive
_	_	father-in-law	Parent_In_Law	岳父	Male	Neutral	NEWS	No	No	CNA	細川被要求出席聽證會,就涉嫌收取東京佐川急便公司政治獻金,及以他岳父名義進行可疑股票交易一事出席說明。	1994	0.864660441875458	Neutral	Neutral	Negative
_	_	man	Adult	男人	Male	Neutral	NEWS	No	No	CNA	佛羅里達州立大學心理學教授寬達諾說,至少對男人來講,缺乏腎上皮質素是他們愛追逐刺激的原因。	2002	0.368823677301407	Neutral	Neutral	Negative
_	_	man	Adult	男人	Male	Propn	NEWS	Yes	NA	CNA	李安原本也納入推薦人名單,不過他推薦的去年威尼斯影展最佳影片「黎巴嫩」和最佳導演作品「沒有男人,女人更美」(Women Without Men),已預定在今年台北電影節放映。	2010	0.469857066869736	Neutral	Neutral	Neutral
_	_	mother-in-law	Parent_In_Law	婆婆	Female	Positive	NEWS	No	Yes	CNA	一些網民留下評論說,這位婆婆「自力更生的精神值得尊重」。	2008	0.996180534362793	Positive	Positive	Positive
_	_	father	Parent	爸爸	Male	Neutral	NEWS	Yes	NA	CNA	姚明今年年初正式公開葉莉懷孕的消息,自此姚明要做爸爸的消息就成為許多人關注的焦點。	2010	0.873750448226929	Positive	Neutral	Neutral
_	_	mother-in-law	Parent_In_Law	婆婆	Female	Negative	NEWS	No	No	CNA	婆媳不和似是古今中外家庭常態,土耳其考古學者烏茲莒奇今天表示,根據最近出土的楔形文字黏土板記載,約於西元前兩千年即有一位女性寫信向遠在外地的丈夫抱怨受到婆婆虐待,要求丈夫儘速返家。	2002	0.996529281139374	Negative	Negative	Negative
_	_	boy	Not_Adult	男孩	Male	Negative	NEWS	No	No	XIN	报道说,舞厅工作人员现已证明看见一名男孩当时坐在他父亲的肩膀上,向塑料泡沫制成的天花板燃放烟花,大火随即燃起。	2005	0.59921795129776	Neutral	Negative	Negative
_	_	father-in-law	Parent_In_Law	岳父	Male	Neutral	NEWS	No	Yes	XIN	东元村民兵营长傅长久手持两张百元大钞说:“请订三份《湖南农村报》,一份投给我岳父蒋尚科,一份投给我弟弟傅长玉。	1996	0.762739837169647	Neutral	Neutral	Positive
_	_	boy	Not_Adult	男孩	Male	Neutral	NEWS	No	Yes	XIN	”这个大二男孩说。	2007	0.606139659881592	Neutral	Neutral	Positive
_	_	father-in-law	Parent_In_Law	公公	Male	Other	NEWS	No	Yes	CNA	受到離婚刺激,洛杉磯郊外科維納(Covina)一名男子扮成耶誕老公公向前妻復仇。	2008	0.485352247953415	Negative	Negative	Positive
_	_	husband	Spouse	丈夫	Male	Neutral	NEWS	No	No	CNA	一名91歲華裔婦女被控在雪梨住家謀殺98歲丈夫,法官今天下令她進行精神病鑑定。	2010	0.904169499874115	Neutral	Neutral	Negative
_	_	girl	Not_Adult	女孩	Female	Neutral	NEWS	Yes	NA	CNA	談到開設泰拳課程起源,這位校長表示,塔通寺住持達馬日廷摩高僧,今年初從媒體上得知不少女孩遭到強暴,心中感到非常難過,在向社區長老和區議員表達這項憂慮時,建議教授女孩泰拳,以便學習自我防身的技術。	2002	0.565229654312134	Neutral	Positive	Neutral
_	_	son	Child	兒子	Male	Neutral	NEWS	Yes	NA	CNA	中國國民黨台北市長候選人馬英九競選總部發言人林火旺今天下午表示,去年自己兒子就讀的公館國小的班級人數就是三十五人,難道今年就會有五個人轉學嗎?自己同事兒子就讀的光復國小,班級上的人數也是超過三十人,另外弘道國中也有部份班級人數甚至達到四十二人,顯然郭生玉說已控制在目標人數內的說法並不確實。	1998	0.502664089202881	Neutral	Neutral	Neutral
_	_	woman	Adult	女人	Female	Neutral	NEWS	No	Yes	CNA	全球掀起「熟女風潮」,亞洲也從日本延燒到台灣,法國迪奧化妝品首度針對台灣二十、三十、四十歲不同年齡層男性進行「男人眼中的美麗成熟女人」調查,結果今天曝光。	2005	0.988331615924835	Neutral	Neutral	Positive
_	_	mother	Parent	母亲	Female	Neutral	NEWS	No	No	XIN	《太阳报》援引一些医师的话报道,这个寄生组织长约4厘米,原先为一个双胞胎胚胎,它与海厄特同处胚胎阶段时一起“住在”母亲子宫内,但发育3至4周后死亡,随后寄生在海厄特的胚胎中。	2009	0.904486060142517	Neutral	Neutral	Negative
_	_	mother-in-law	Parent_In_Law	婆婆	Female	Neutral	NEWS	Yes	NA	XIN	婆婆一边坐在柴堆边烤火,一边看各家的媳妇围着露天的灶台忙活个不停。	2010	0.737492084503174	Neutral	Neutral	Neutral
_	_	woman	Adult	女人	Female	Neutral	NEWS	No	No	CNA	艾南並表示,英國、荷蘭和比利時在處理這類問題上都已開始採取這種態度,但在奧地利則還須修改外人法令,以便這類被逼為娼的女人可以用受害人身分取得在奧地利的短期居留,能夠出庭作證指控其剝削者。	1996	0.987421870231628	Neutral	Positive	Negative
_	_	father	Parent	父親	Male	Negative	NEWS	No	No	CNA	最近父親出獄,親戚要把他送回父親管教才又偷車逃跑。	1999	0.995044946670532	Negative	Negative	Negative
_	_	boy	Not_Adult	男孩子	Male	Negative	NEWS	No	Yes	CNA	她說,有個國二的男孩子從台北轉學到壽豐,但這個孩子在台北喜歡當老大,手底下有小弟們,幾乎形成小小黑社會,當他轉學到此地,一時性難改,鄉下老師當然排斥這種學生,幾乎又要被放棄。	2010	0.533774077892303	Neutral	Negative	Positive
_	_	father-in-law	Parent_In_Law	岳父	Male	Neutral	NEWS	No	Yes	CNA	黨主席許信良、台北市長陳水扁、台北縣長蘇貞昌、台中縣長廖永來,以及盧修一兩位九十多歲的岳父母等人都參加,盧修一夫人陳郁秀也帶小兒子參加了這場祈禱會,和與會者共同為盧修一祈禱。	1998	0.989578783512116	Neutral	Neutral	Positive
_	_	woman	Adult	女人	Female	Neutral	NEWS	No	Yes	CNA	她和大多數女人一樣,都渴望愛情。	2004	0.975318491458893	Neutral	Neutral	Positive
_	_	father-in-law	Parent_In_Law	岳父	Male	Neutral	NEWS	Yes	NA	CNA	六合區文物保管所所長蔡明義向南京「金陵晨報」說,要考證黃帝的岳父,先要弄清楚一個問題,就是炎帝和黃帝並非同時代的人,黃帝在炎帝之後整整相差十一代。	2006	0.927284300327301	Neutral	Neutral	Neutral
_	_	man	Adult	男人	Male	Neutral	NEWS	No	Yes	XIN	7个男人在一间屋里,有足够的时间侃大山。	2008	0.988837003707886	Neutral	Neutral	Positive
_	_	father-in-law	Parent_In_Law	公公	Male	Negative	NEWS	Yes	NA	CNA	因此,公公娶兒媳、岳母下嫁女婿雖然不合理,但也不違法,許多人更對此表示理解與同情。	2000	0.568925321102142	Neutral	Neutral	Neutral
翟伟	_	daughter	Child	女儿	Female	Segment	NEWS	Yes	NA	XIN	国务院妇女儿童工作委员会副主任、国务院副秘书长徐绍史今天在国务院新闻办公室举行的新闻发布会上说,凡使用、介绍或允许童工者都将受到法律的惩处。	2001	0.887522339820862	Neutral	Neutral	Neutral
_	_	man	Adult	男人	Male	Neutral	NEWS	Yes	NA	XIN	位于“男人街”街头的店铺中不仅陈列着常规的衬衣、西装,也展示着各种款式的伊顿公学校服。	2009	0.915450930595398	Neutral	Neutral	Neutral
_	_	father-in-law	Parent_In_Law	岳父	Male	Neutral	NEWS	No	Yes	XIN	中国航运股份有限公司是董建华的父亲、彭荫刚的岳父董浩云先生于1946年在上海创立的,在航权破碎、门户洞开的时代开创了中国民族航运业自强振兴的先河,至今在台湾乃至国际航运界有着举足轻重的影响力。	2005	0.994630575180054	Positive	Positive	Positive
_	_	wife	Spouse	妻子	Female	Neutral	NEWS	No	No	XIN	死者的妻子徐庆荣因案子迟迟得不到解决,多次越级上访。	1999	0.952184438705444	Neutral	Neutral	Negative
_	_	wife	Spouse	妻子	Female	Neutral	NEWS	Yes	NA	CNA	安南此舉,打破了聯合國職員過去半個世紀一直享有的,可以不必執行地方法院命令他們對已離婚妻子及子女支付撫養費判決的外交豁免權。	1999	0.734462738037109	Neutral	Neutral	Neutral
_	_	husband	Spouse	丈夫	Male	Neutral	NEWS	Yes	NA	XIN	张桂荣的丈夫告诉总理,洪水冲毁了他原来承包的土地和鱼塘,但是一家人还在,一切还能从头干起来。	1999	0.915453672409058	Positive	Neutral	Neutral
_	_	brother	Sibling	兄弟	Male	Propn	NEWS	Yes	NA	CNA	有「棒球先生」美稱的中華職棒聯盟兄弟象球員李居明,近日傳出有意轉檯那魯灣,兄弟隊領隊洪瑞河今天中午表示,他找李居明談過兩次,希望他不要聽信謠言好好留在兄弟隊,他願意升他為教練或是總教練。	1999	0.708529949188232	Positive	Neutral	Neutral
_	_	sister	Sibling	妹妹	Female	Neutral	NEWS	No	Yes	CNA	許水德當年擔任高雄市長時,他的夫人曾擔任中華婦女反共聯合會代表團副團長前往美國紐約探視蔣夫人,蔣夫人親切地以「小妹妹」稱呼代表團的成員;直到他任台北市長時,有一次臨時奉命與各部會首長前往夫人官邸晉見,但因須先行離開趕回市議會,臨去前,蔣夫人還特地提及許水德夫人,並請轉達問候之意。	1995	0.966910362243652	Neutral	Positive	Positive
_	_	father-in-law	Parent_In_Law	岳父	Male	Neutral	NEWS	Yes	NA	XIN	商店糕点组的服务员告诉记者:过去初二女婿们看望岳父、岳母,买盒糕点、两瓶二锅头就行了。	1992	0.863178551197052	Neutral	Neutral	Neutral
_	_	father-in-law	Parent_In_Law	岳父	Male	Neutral	NEWS	No	Yes	XIN	刘昌赫因赛事繁忙,在同金小姐谈恋爱的初期甚至没有及时去拜访未来的岳父母。	1999	0.767039120197296	Neutral	Neutral	Positive
_	_	father-in-law	Parent_In_Law	公公	Male	Propn	NEWS	No	Yes	CNA	「糖糖教室」是「金公公銀婆婆健康總動員」活動的重頭戲,中國醫藥學院附設醫院選擇以這種走入社區的方式來歡度二十二週年院慶,受到樂英里、金華里、錦祥里、金龍里、新北里、錦和里、武順里住戶歡迎。	2002	0.995769798755646	Neutral	Positive	Positive
_	_	mother-in-law	Parent_In_Law	岳母	Female	Neutral	NEWS	No	Yes	CNA	工商協進會理事長黃茂雄也指出,他岳母對於搭乘高鐵感到滿意。	2008	0.993818461894989	Positive	Positive	Positive
_	_	girl	Not_Adult	女孩	Female	Propn	NEWS	Yes	NA	CNA	洪惠昭說,這次演出的舞碼有熱力四射、觀浪、彈跳之美、揮舞、翻滾吧!女孩、水精靈、武動‧舞動、奪標、翔、武舞生風、情挑拉丁和舞躍大地等,保證值回票價。	2008	0.82033371925354	Neutral	Positive	Neutral
_	_	brother	Sibling	哥哥	Male	Neutral	NEWS	No	No	XIN	20多天过去了,哥哥一直不相信弟弟已经死去。	2005	0.880695581436157	Neutral	Neutral	Negative
_	_	husband	Spouse	丈夫	Male	Neutral	NEWS	No	No	XIN	蔡淑芳是三个女儿的母亲,丈夫是三代单传。	1992	0.899407386779785	Neutral	Neutral	Negative
_	_	mother	Parent	母親	Female	Neutral	NEWS	No	No	CNA	警方調查,張姓男子的女兒昨天在浴室戲水吵鬧,以掃把「管教」女兒,並將女兒綁在房間床頭後去上班,女童母親隨後發現為女兒鬆綁,但在洗、曬衣服後發現女兒昏迷,立即送往國軍高雄總醫院急救,仍回天乏術。	2009	0.679302930831909	Neutral	Negative	Negative
_	_	brother	Sibling	哥哥	Male	Neutral	NEWS	Yes	NA	CNA	秦姓雙胞胎哥哥今天回到事發現場,他指出,路面長約1公尺、深約5公分的溝縫,就是造成弟弟嚴重摔傷的元凶。	2010	0.939817607402802	Neutral	Negative	Neutral
_	_	wife	Spouse	妻子	Female	Negative	NEWS	Yes	NA	CNA	至於法官判決馬英九領養流浪犬「馬小九」部分,退回檢方「馬英九妻子周美青涉侵占特別費案」併案偵辦,有媒體問及是否意謂檢方做「困獸之鬥」,對此,薛松雨說,這是檢方職權,他予以尊重,他不便揣測或做出評論。	2007	0.492945581674576	Neutral	Neutral	Neutral
_	_	brother	Sibling	哥哥	Male	Neutral	NEWS	No	Yes	CNA	從今年八月二十六日雲林地檢署發布通緝張榮味後行蹤不明至今,已經有三個多月沒見面了,王月霞、張嘉郡、張麗娟、張麗善四人看到張榮味下車,情緒激動,痛哭失聲,一邊喊著爸爸加油、哥哥加油,張榮味與王月霞雙眼交會、雙手短暫相握,隨即被帶進地檢署。	2004	0.996985256671906	Neutral	Positive	Positive
_	_	mother	Parent	媽媽	Female	Neutral	NEWS	No	Yes	CNA	台北市中正區健康服務中心今天建議哺乳媽媽以富含纖維「育乳黃金湯」取代高熱量補品,以防身材橫向發展。	2006	0.511090397834778	Neutral	Neutral	Positive
_	_	wife	Spouse	妻子	Female	Neutral	NEWS	Yes	NA	CNA	根據此份調查,隨著女性意識抬頭,有將近一半的網友認為,誰買的房子就登記誰的名下,僅有8.8%老公願意無條件把房子登記在妻子名下。	2007	0.812760531902313	Neutral	Neutral	Neutral
_	_	daughter	Child	女儿	Female	Neutral	NEWS	Yes	NA	XIN	受害者的女儿珍妮・克拉克介绍说,邦尼・瓦尔患有肺气肿,并需要不断吸氧。	2004	0.917174100875854	Neutral	Neutral	Neutral
于文静	_	brother	Sibling	哥哥	Male	Positive	NEWS	No	No	XIN	肇事者已被抓获,肇事者的哥哥李祖义参与扑火时死亡。	2009	0.554301679134369	Neutral	Neutral	Negative
_	_	brother	Sibling	哥哥	Male	Negative	NEWS	Yes	NA	CNA	華夏工專董事長趙愷政與哥哥趙沛明的鬩牆之爭已演變成台灣頭條社會新聞,他們的兄弟、活躍於舊金山僑界的的趙川三今天表示,他不認為大哥與小弟間的「不愉快」已到如此嚴重地步,雙方應以辦好校務為第一優先。	1999	0.51172411441803	Neutral	Neutral	Neutral
_	_	boy	Not_Adult	男孩	Male	Propn	NEWS	No	Yes	CNA	「超級男孩」賈斯汀將與她在「Yours」單曲中演出男女對唱,而饒舌樂壇重量級製作人「德瑞大夫」也參與了「Clown」單曲的製作。	2002	0.978868126869202	Neutral	Positive	Positive
郗永年	_	wife	Spouse	妻子	Female	Positive	NEWS	No	Yes	XIN	这些人见多识广,致富有方,尊敬老人,支持妻子顶门立户,对转变男尊女卑旧观念、落实计划生育国策起了很大作用。	1996	0.997722208499908	Positive	Positive	Positive
