Form	Year	Register	Source	Text	Label	Score
woman	1953	FIC	VelvetDoublet	  were costly, and the first one called herself Maria. The wine and the woman convulsed me into frenzied lunacy and in my loathsome appetency I pretended her into Maraela	LABEL_0	0.99489969
woman	1952	FIC	Play:SlaughterInnocents	  What's going to happen to my son? ARCHIE Your son's dead. WOMAN He's not dead. I saw him. I held him in my arms	LABEL_0	0.98075521
woman	1951	FIC	ReturnParadise	  A guy can't lead anp186army and still stay at home and teach the Little Woman golf. Nowadays the career woman, who was the big news even five years	LABEL_0	0.969779909
woman	1957	FIC	VelvetHorn	  given over to the three of, them standing on the wall, and the woman clinging to the bottom of the capsized boat calling shrilly and angrily to the half-naked	LABEL_0	0.99351573
woman	1955	FIC	BandAngels	  gal to death! " " Moultrie, All cain't look! " the woman next to me screamed, and swooned in her saddle.' With Auntie Maine	LABEL_0	0.99405551
woman	1956	FIC	GreatWorldTimothy	  he as any sense in that handsome head of his, won't let that woman ruin his career. Divorce is the only answer. Even Sheridan thinks so.	LABEL_0	0.993825316
woman	1951	FIC	HereEternity	  a hit. Whywould you want to stay? Since I'm not even a woman any more. " " You're a woman, " Warden said, looking	LABEL_0	0.976922154
woman	1955	FIC	Lolita	  , Charlotte. Not yet. " No, and I'm not a dead woman. But I would be if I had to go through another confinement and the	LABEL_0	0.989123404
woman	1952	FIC	LaughingKeepFrom	  Cat? " I wanted to laugh because I thought she was talking about another woman. " A tiger, Mr. Shields. I told Tamaris myself to claw him	LABEL_0	0.989774108
woman	1952	FIC	Build-Up	  so as not to be seen. " I don't know. An older woman. All in black. She looks like a caller. " Gurlie, blinking	LABEL_0	0.899303734
woman	1959	FIC	Hex	  but all had known what had killed him. Can you not battle a young woman, and win, Marie Wladek? And yet the young woman had something strange	LABEL_0	0.968259573
woman	1959	FIC	TentsWickedness	  you a lot of lies. You know: Hell hath no fury like a woman scorned.' " " I can discount anything like that. " | "	LABEL_0	0.994905591
woman	1956	FIC	KingParis	  making a living for herself. It is about time that we came to the woman in the case. For of course there was a woman involved in the "	LABEL_0	0.65589869
woman	1951	FIC	Harpers	  , thoroughly nasty piece of work with a hide an inch thick, and no woman really ever has a chance with one of those. I couldn't imagine Porterman	LABEL_0	0.995618999
woman	1954	FIC	CrystalCrypt	  , " it said reluctantly. " Next! " " Nothing, " the woman muttered. " Nothing. " " The truth. " " Next! "	LABEL_0	0.886434674
woman	1957	FIC	VelvetHorn	  the terror -- I won't have a lady washing. But Molly is a woman now throwing up a baby every ten months, and Adelaide a grown girl says	LABEL_0	0.981106758
woman	1959	FIC	TentsWickedness	  Get out, " he said to me. " My grandmother is a sick woman. Can't you see what you're doing to her? " " Somebody	LABEL_0	0.994775534
woman	1955	FIC	FaithfulAreWounds	  later. I shall thrash it out. " " Do, " said the woman rising from her chair arm. " And perhapswe can get together again soon,	LABEL_0	0.82976526
woman	1955	FIC	BandAngels	  -- put some pressure to bear and got a new trial. The remaining old woman and Karanja were both paroled into my father's care. But I guess they	LABEL_0	0.840226829
woman	1956	FIC	BoonIsland	  three warts in the palm of his hand. He had been to the conjure woman a week ago, but so far they hadn't shed. " Listen,	LABEL_0	0.578054011
woman	1958	FIC	IcePalace	  men acting different, Outside. Outside it's more women than men. Any woman, those days in Alaska, who wasn't cross-eyed, pockmarked and mustached,	LABEL_0	0.974290967
woman	1952	FIC	LaughingKeepFrom	  , I never heard the like, " gasped Miss Lucy. " A colored woman as famous as you? Why, you must be ly-ing! " " Tai	LABEL_0	0.754496515
woman	1953	FIC	Good-for-Nothing	  Europe and New York had tried to change her practice. Bobbie was a one-man woman, that is, one man at a time. So Scotty, after the	LABEL_0	0.755895376
woman	1956	FIC	GreatWorldTimothy	  inevitably, to | taxes. He was fascinated by the reverence of such a woman for the smallest principles of tax avoidance. " It's a pity I ca	LABEL_0	0.989500821
woman	1958	FIC	Maggie-Now	  away and in so doing he only confirmed their suspicions about the woman; the woman was always designated a little before the fact. She was suspected becausethe man had	LABEL_0	0.954505622
woman	1950	FIC	LoveHonor	  in a high falsetto, all voices too well disguised to be recognizable. A woman in a costume made entirely of newssheets of the county paper from low-cut bodice to	LABEL_0	0.925905466
woman	1957	FIC	VelvetHorn	  's eyes, skipping, bumping the bed, to the headboard where the old woman sat. " He's so far from home, " she said. "	LABEL_0	0.986863613
woman	1959	FIC	Malcolm	  , his bravado of a moment ago completely vanished, while gazing glassily at the woman he had feared so long to meet, but since she kept her eyes closed	LABEL_0	0.992158532
woman	1953	FIC	LawLion	  money, of course, but wouldn't there have been something wrong with a woman of her age and situationwho wasn't? Besides, Arthur, who tended to	LABEL_0	0.986969352
woman	1955	FIC	BandAngels	  hopelessly drunk off brandy and wept. |p140When Kimani heard the sentence of death for the woman Gachere and the prison terms for Nduta and his father, he could not understand	LABEL_0	0.995203018
woman	1951	FIC	ReturnParadise	  but I think Mrs. Manse still tries to convince us she's a born Lancashire woman, with all the proprieties, and she might not care for our dormitory chat	LABEL_0	0.989686906
woman	1957	FIC	Play:Ione	  THERESINE When my bones move, it waking the whole village. (The old woman sits) My cold skin feel the sun climbing up on it. This afternoon	LABEL_0	0.963207066
woman	1955	FIC	TenNorthFrederick	  thick speech, had begun gabbling disconnectedlyabout Noel. Completely out of control, the woman had shrugged off her husband's embarrassed efforts to stop her, and her voice	LABEL_0	0.995515049
woman	1951	FIC	HereEternity	  the other poor unfortunate bastards like himself who are so hungry to talk to a woman they willing to come to a whorehouse and pay three bucks to do it.	LABEL_0	0.99515909
woman	1955	FIC	MissMorissaDoctor	  Yes, I am. " Then he had come to fetch her. Sick woman off west here a ways. But when Morissa lit the lamp and held it	LABEL_0	0.995292783
woman	1951	FIC	Hangsaman	  Natalie; the' desire to be helplessand the pride against being helped by a woman who might be, after all, inadequate, made Natalie say dismissingly, "	LABEL_0	0.991310596
woman	1959	FIC	Hawaii	  . " Whose child? " he inquired. " Any child, " the woman replied, adding softly, " It is woeful to be in a land where	LABEL_0	0.969254613
woman	1958	FIC	Play:DrumsColours	  . (He exits. YETTE gathers up her bundles, grumbling.) p. 110 WOMAN (Passing. The first of several who have entered for the next scene.	LABEL_0	0.990052283
woman	1955	FIC	Harpers	  so completely that she was useless to Henry and a burden to herself. Another woman might have prayed for strength, and the prayer might have been answered -- because	LABEL_0	0.987317502
woman	1950	FIC	Town	  thirty-five years she had hankered to know. It used to torment her what this woman was like and did Portius still have a secret wish to go back to her	LABEL_0	0.990602136
woman	1957	FIC	Play:Founders	  character, emaciated and runtish, wearing a short tattered rabbit-skin cloak made like a woman's petticoat and fastened about his neck and coming down only to his middle.	LABEL_0	0.993444443
woman	1950	FIC	Harpers	  base, " except among the very humblest of living creatures. " The old woman gave it up. The inhabitants had had a shock, they'd stopped feeding	LABEL_0	0.986112535
woman	1952	FIC	Harpers	  pay, " she said, with a look of hopeless disgust at the old woman. The bag was four-pounds-fifteen. She owes two-fifteen on it. " " A	LABEL_0	0.99431473
woman	1952	FIC	YetOtherWaters	  , pale, timid, skinny girl with pigtails. And that stolid, wide-hipped woman with the wart on her cheek. She seemed so calm, but she was	LABEL_0	0.962335825
woman	1952	FIC	LaughingKeepFrom	  " cried Miss Lucy. | " Ten Dollars, then, " said the colored woman. " You've had your treatment, anyhow. " " Ten Dollars!	LABEL_0	0.973444998
woman	1951	FIC	ReturnParadise	  n't see anything wrong with Joe. " " How could a brute treat a woman the way she should be treated? And how could you know if a man	LABEL_0	0.949313402
woman	1953	FIC	Mov:RideVaquero	  . ESQUEDA'S STRONGHOLD - MCS Women working around table, making tortillas -- First Woman looks o.s. to right b.g. -- reacts and speaks -- she and other Women run	LABEL_0	0.987352848
woman	1957	FIC	MrAudubonsLucy	  cursing in the half-dark over a card game, past a young man and young woman, well dressed, genteel-looking, she'd noticed momentarily on the deck. The	LABEL_0	0.948319674
woman	1952	FIC	Harpers	  here. " He was seeing her face, at the end. " Crazy woman, " Henry said. " They ought to keep them locked up better,	LABEL_0	0.963863134
woman	1959	FIC	Hex	  as if someone else put it there. " " Ah, " the gypsy woman said. " And who is the witch who has put this curse upon you	LABEL_0	0.983540475
woman	1953	FIC	GoldenApplesSun	  was food he was after, perhaps a fight, perhaps disaster, perhaps a woman beckoning from behind, or a business order, a game of billiards, a	LABEL_0	0.977418244
woman	1952	FIC	Mov:AngelFace	  anyone try to murder her? BRADY (reproachfully) Are you kidding? A woman with her kind of money!... (casually) What sort of	LABEL_0	0.994670808
woman	1953	FIC	Good-for-Nothing	  of Doc Puckett, left himself open to a tactful approach, examined the sick woman, found that she had stomach trouble due to taut nerves caused by worry,	LABEL_0	0.973749101
woman	1955	FIC	BangDrumSlowly	  a meal.... Family? Did a half-crazy man, a childish woman, and a fortyfive-year-oldsexual deviate constitute a family? And if so, whose was	LABEL_0	0.994559228
woman	1952	FIC	Sybil	  He winced under the masculine pats on his back and shoulders, and when a woman tried to kiss his hand he jerked it away. The small door cut out	LABEL_0	0.992738664
woman	1950	FIC	Town	  anything like it before. He watched with a kind of horrible fascination while the woman performed her secret rites. She seemed to be writingon the night. All she	LABEL_0	0.918930352
woman	1958	FIC	Harpers	  ? Or did I only want to see for myself that she is an old woman, a woman no man will ever fall in love with again, a clown	LABEL_0	0.993593991
